"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV5081","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV5082","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Vasilyevaea"
"ESV5083","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV5084","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV5085","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV5086","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV5087","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV5088","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV5089","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5090","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5091","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquincola"
"ESV5093","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5094","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ESV5095","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45",NA,NA
"ESV5096","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV5097","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19",NA
"ESV5098","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV5100","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA
"ESV5101","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV5102","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus"
"ESV5103","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV5105","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA
"ESV5106","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV5108","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5109","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5110","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5111","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Isosphaera"
"ESV5112","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV5113","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"ESV5114","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV5115","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5116","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
"ESV5117","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"ESV5118","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16"
"ESV5119","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV5120","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Microcoleus"
"ESV5121","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5122","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5123","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV5124","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ESV5125","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV5126","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella"
"ESV5127","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"ESV5128","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV5129","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Conyzicola"
"ESV5130","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19",NA
"ESV5131","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5132","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19",NA
"ESV5133","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ESV5134","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA
"ESV5136","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5137","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ESV5138","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"ESV5139","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5140","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5141","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ESV5142","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV5143","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"ESV5144","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"ESV5145","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV5146","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV5147","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5148","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV5150","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV5151","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ESV5153","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV5156","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5157","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter"
"ESV5158","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV5159","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV5160","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV5161","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5162","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV5163","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5164","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus"
"ESV5165","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter"
"ESV5166","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA
"ESV5167","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5168","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV5169","Bacteria","Acidobacteria","Subgroup_5",NA,NA,NA
"ESV5170","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV5171","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5172","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage"
"ESV5173","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV5174","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5175","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","11-24"
"ESV5176","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA
"ESV5177","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV5178","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV5179","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5180","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
"ESV5181","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium"
"ESV5182","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV5183","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV5184","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5185","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus"
"ESV5186","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45",NA,NA
"ESV5187","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5188","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5189","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella"
"ESV5190","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV5191","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Hamadaea"
"ESV5192","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV5193","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV5194","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5195","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5196","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV5197","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV5198","Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA
"ESV5199","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5200","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV5201","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV5202","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV5203","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV5204","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV5205","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"ESV5206","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ESV5207","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5208","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter"
"ESV5209","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium"
"ESV5210","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5211","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV5212","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV5214","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV5215","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV5216","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Mycoplana"
"ESV5217","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"ESV5218","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5219","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV5220","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)",NA
"ESV5221","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter"
"ESV5222","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5223","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Elev-16S-1332",NA
"ESV5224","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV5225","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV5226","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV5227","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","Stenotrophobacter"
"ESV5228","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"ESV5229","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter"
"ESV5230","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus"
"ESV5231","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5232","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV5233","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV5234","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"ESV5235","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5236","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV5237","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV5239","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5240","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5241","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"ESV5242","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"ESV5243","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5244","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5245","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage"
"ESV5246","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"ESV5247","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV5248","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ESV5249","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage"
"ESV5250","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5251","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV5252","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA
"ESV5253","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Iamia"
"ESV5254","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"ESV5255","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ESV5256","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV5257","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter"
"ESV5258","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5259","Bacteria","Acidobacteria","Subgroup_2",NA,NA,NA
"ESV5260","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV5262","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga"
"ESV5263","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV5264","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5265","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ESV5266","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV5267","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5268","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV5269","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV5270","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Isosphaera"
"ESV5271","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium"
"ESV5272","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Leptolyngbya"
"ESV5273","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ESV5274","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5275","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5276","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5277","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"ESV5278","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5279","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA
"ESV5280","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","Stenotrophobacter"
"ESV5281","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5282","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV5284","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","Stenotrophobacter"
"ESV5285","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","YNPFFP1",NA
"ESV5286","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV5287","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5288","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5289","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5290","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV5291","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"ESV5292","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV5293","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20",NA,NA
"ESV5294","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV5295","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV5296","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)",NA
"ESV5297","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter"
"ESV5298","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium"
"ESV5299","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"ESV5300","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV5301","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga"
"ESV5302","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"ESV5303","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea"
"ESV5304","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9",NA,NA
"ESV5305","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5306","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5307","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5308","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV5310","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5311","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"ESV5312","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5313","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV5314","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV5315","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5316","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5317","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5318","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20",NA,NA
"ESV5319","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV5320","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"ESV5321","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV5323","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas"
"ESV5324","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV5325","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV5326","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ESV5327","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA
"ESV5328","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Isosphaera"
"ESV5329","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV5330","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV5331","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV5332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter"
"ESV5333","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV5334","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ESV5335","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"ESV5336","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium"
"ESV5337","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","JG34-KF-161",NA
"ESV5338","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV5339","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV5340","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Iamia"
"ESV5341","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV5342","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas"
"ESV5343","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV5344","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA
"ESV5345","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV5346","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV5347","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia"
"ESV5348","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"ESV5349","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV5350","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV5351","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5352","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV5353","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV5354","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV5355","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV5356","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV5357","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ESV5358","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
